model,sku_id,RMSE,MAE,MAPE,R2
LinearRegression,MBA13,42.47905914713162,33.47433581449272,10.746547671115989,0.6436484837847771
LinearRegression,MBA15,41.65780502140807,31.859473233307025,11.004681632508264,0.5981119100908991
LinearRegression,MBP14,30.88894809631688,24.121066758811352,11.647505882911243,0.551182066707326
LinearRegression,MBP16,16.338674218102835,13.190737517189515,11.02296988595378,0.5816417202055355
Ridge,MBA13,42.533576669358844,33.59301873633577,10.822107877110488,0.6427332154790966
Ridge,MBA15,41.63077554784835,31.850259843935095,11.036942386467715,0.5986332673418759
Ridge,MBP14,30.8848531505664,24.164381452696723,11.70514581578517,0.5513010583452926
Ridge,MBP16,16.327088130645244,13.168849318585588,11.021399241962342,0.5822348426281032
Lasso,MBA13,42.55504065785089,33.71087137927612,10.870878109474996,0.642372544892642
Lasso,MBA15,41.64171038275165,31.928532568726833,11.07949528984249,0.5984223918395086
Lasso,MBP14,30.91615984781914,24.24018823605747,11.752719835456464,0.5503909422162236
Lasso,MBP16,16.337266478261842,13.166449536530232,11.032780360723965,0.5817138085817283
ElasticNet,MBA13,43.798370510869624,35.01494547465002,11.32613508415007,0.6211696728697382
ElasticNet,MBA15,42.80699084765227,33.166870333539975,11.495060542039,0.5756328386406722
ElasticNet,MBP14,31.92821244128317,25.34240868170532,12.266866615041648,0.5204728815447344
ElasticNet,MBP16,16.774333308606376,13.408004802269511,11.306874375718158,0.5590338240187263
