model,sku_id,RMSE,MAE,MAPE,R2
LinearRegression,MBA13,60.264608468425656,39.26687704102591,13.78032807998352,0.5902638547398804
LinearRegression,MBA15,67.34176786773962,42.03899942416877,16.806832463426417,0.4599579071566604
LinearRegression,MBP14,45.60184131096814,28.80917287339404,15.911791867332377,0.49413210496328097
LinearRegression,MBP16,25.039949901801116,15.096356377657935,10.263914754884302,0.5443345795267928
Ridge,MBA13,60.28707240535967,39.257319250410895,13.756033495859032,0.5899583353767626
Ridge,MBA15,67.27071321745582,41.75059930155996,16.825196697555818,0.4610969404543179
Ridge,MBP14,45.55817324425909,28.79123413675394,15.900008580893749,0.49510047359012177
Ridge,MBP16,24.981258187155756,15.037150092541669,10.290115883668623,0.5464681654365618
Lasso,MBA13,60.271309724035866,39.23216860025004,13.736913597667415,0.5901727266508882
Lasso,MBA15,67.22154839143649,41.64855845600186,16.818266641954878,0.46188436761033524
Lasso,MBP14,45.516530149583225,28.730002942274915,15.849112895817512,0.4960230728920342
Lasso,MBP16,25.026343730300074,15.096567391918338,10.348062357126329,0.5448296426116956
ElasticNet,MBA13,63.557342774914005,42.61511097483919,14.753452568020094,0.5442663862340555
ElasticNet,MBA15,70.98609681165806,44.81015013884711,17.948329544998163,0.39992549029163993
ElasticNet,MBP14,48.22947955326484,31.889752471770468,17.2936544964519,0.4341549634440819
ElasticNet,MBP16,26.519767236361123,16.994286314925013,11.880809350276785,0.48888505872812527
