date,sku_id,units_sold,year,month,day,day_of_week,day_of_year,is_weekend,is_back_to_school,is_holiday_season,lag_1,lag_7,lag_14,rolling_mean_7,rolling_mean_30
2022-01-31,MBA13,234,2022,1,31,0,31,0,0,0,188.0,209.0,221.0,221.71428571428572,227.96666666666667
2022-02-01,MBA13,309,2022,2,1,1,32,0,0,0,234.0,236.0,262.0,225.28571428571428,228.9
2022-02-02,MBA13,252,2022,2,2,2,33,0,0,0,309.0,256.0,225.0,235.71428571428572,232.83333333333334
2022-02-03,MBA13,221,2022,2,3,3,34,0,0,0,252.0,218.0,209.0,235.14285714285714,232.2
2022-02-04,MBA13,278,2022,2,4,4,35,0,0,0,221.0,264.0,297.0,235.57142857142858,229.63333333333333
2022-02-05,MBA13,167,2022,2,5,5,36,1,0,0,278.0,181.0,190.0,237.57142857142858,230.73333333333332
2022-02-06,MBA13,200,2022,2,6,6,37,1,0,0,167.0,188.0,197.0,235.57142857142858,228.13333333333333
2022-02-07,MBA13,193,2022,2,7,0,38,0,0,0,200.0,234.0,209.0,237.28571428571428,224.8
2022-02-08,MBA13,212,2022,2,8,1,39,0,0,0,193.0,309.0,236.0,231.42857142857142,224.13333333333333
2022-02-09,MBA13,259,2022,2,9,2,40,0,0,0,212.0,252.0,256.0,217.57142857142858,225.06666666666666
2022-02-10,MBA13,275,2022,2,10,3,41,0,0,0,259.0,221.0,218.0,218.57142857142858,224.76666666666668
2022-02-11,MBA13,258,2022,2,11,4,42,0,0,0,275.0,278.0,264.0,226.28571428571428,226.0
2022-02-12,MBA13,193,2022,2,12,5,43,1,0,0,258.0,167.0,181.0,223.42857142857142,226.66666666666666
2022-02-13,MBA13,188,2022,2,13,6,44,1,0,0,193.0,200.0,188.0,227.14285714285714,224.46666666666667
2022-02-14,MBA13,208,2022,2,14,0,45,0,0,0,188.0,193.0,234.0,225.42857142857142,224.26666666666668
2022-02-15,MBA13,231,2022,2,15,1,46,0,0,0,208.0,212.0,309.0,227.57142857142858,226.06666666666666
2022-02-16,MBA13,239,2022,2,16,2,47,0,0,0,231.0,259.0,252.0,230.28571428571428,227.7
2022-02-17,MBA13,285,2022,2,17,3,48,0,0,0,239.0,275.0,221.0,227.42857142857142,228.3
2022-02-18,MBA13,263,2022,2,18,4,49,0,0,0,285.0,258.0,278.0,228.85714285714286,229.06666666666666
2022-02-19,MBA13,154,2022,2,19,5,50,1,0,0,263.0,193.0,167.0,229.57142857142858,230.33333333333334
2022-02-20,MBA13,203,2022,2,20,6,51,1,0,0,154.0,188.0,200.0,224.0,228.5
2022-02-21,MBA13,241,2022,2,21,0,52,0,0,0,203.0,208.0,193.0,226.14285714285714,225.36666666666667
2022-02-22,MBA13,233,2022,2,22,1,53,0,0,0,241.0,231.0,212.0,230.85714285714286,227.06666666666666
2022-02-23,MBA13,272,2022,2,23,2,54,0,0,0,233.0,239.0,259.0,231.14285714285714,228.26666666666668
2022-02-24,MBA13,284,2022,2,24,3,55,0,0,0,272.0,285.0,275.0,235.85714285714286,230.36666666666667
2022-02-25,MBA13,281,2022,2,25,4,56,0,0,0,284.0,263.0,258.0,235.71428571428572,231.96666666666667
2022-02-26,MBA13,176,2022,2,26,5,57,1,0,0,281.0,154.0,193.0,238.28571428571428,232.8
2022-02-27,MBA13,188,2022,2,27,6,58,1,0,0,176.0,203.0,188.0,241.42857142857142,231.4
2022-02-28,MBA13,263,2022,2,28,0,59,0,0,0,188.0,241.0,208.0,239.28571428571428,228.86666666666667
2022-03-01,MBA13,283,2022,3,1,1,60,0,0,0,263.0,233.0,231.0,242.42857142857142,231.6
2022-03-02,MBA13,239,2022,3,2,2,61,0,0,0,283.0,272.0,239.0,249.57142857142858,234.76666666666668
2022-03-03,MBA13,248,2022,3,3,3,62,0,0,0,239.0,284.0,285.0,244.85714285714286,234.93333333333334
2022-03-04,MBA13,220,2022,3,4,4,63,0,0,0,248.0,281.0,263.0,239.71428571428572,232.9
2022-03-05,MBA13,168,2022,3,5,5,64,1,0,0,220.0,176.0,154.0,231.0,231.83333333333334
2022-03-06,MBA13,215,2022,3,6,6,65,1,0,0,168.0,188.0,203.0,229.85714285714286,230.06666666666666
2022-03-07,MBA13,295,2022,3,7,0,66,0,0,0,215.0,263.0,241.0,233.71428571428572,227.96666666666667
2022-03-08,MBA13,251,2022,3,8,1,67,0,0,0,295.0,283.0,233.0,238.28571428571428,232.23333333333332
2022-03-09,MBA13,284,2022,3,9,2,68,0,0,0,251.0,239.0,272.0,233.71428571428572,233.93333333333334
2022-03-10,MBA13,265,2022,3,10,3,69,0,0,0,284.0,248.0,284.0,240.14285714285714,236.96666666666667
2022-03-11,MBA13,234,2022,3,11,4,70,0,0,0,265.0,220.0,281.0,242.57142857142858,238.73333333333332
2022-03-12,MBA13,204,2022,3,12,5,71,1,0,0,234.0,168.0,176.0,244.57142857142858,237.9
2022-03-13,MBA13,232,2022,3,13,6,72,1,0,0,204.0,215.0,188.0,249.71428571428572,235.53333333333333
2022-03-14,MBA13,253,2022,3,14,0,73,0,0,0,232.0,295.0,263.0,252.14285714285714,234.66666666666666
2022-03-15,MBA13,301,2022,3,15,1,74,0,0,0,253.0,251.0,283.0,246.14285714285714,236.66666666666666
2022-03-16,MBA13,174,2022,3,16,2,75,0,0,0,301.0,284.0,239.0,253.28571428571428,240.43333333333334
2022-03-17,MBA13,279,2022,3,17,3,76,0,0,0,174.0,265.0,248.0,237.57142857142858,239.3
2022-03-18,MBA13,256,2022,3,18,4,77,0,0,0,279.0,234.0,220.0,239.57142857142858,240.9
2022-03-19,MBA13,189,2022,3,19,5,78,1,0,0,256.0,204.0,168.0,242.71428571428572,241.46666666666667
2022-03-20,MBA13,198,2022,3,20,6,79,1,0,0,189.0,232.0,215.0,240.57142857142858,238.26666666666668
2022-03-21,MBA13,193,2022,3,21,0,80,0,0,0,198.0,253.0,295.0,235.71428571428572,236.1
2022-03-22,MBA13,247,2022,3,22,1,81,0,0,0,193.0,301.0,251.0,227.14285714285714,237.4
2022-03-23,MBA13,265,2022,3,23,2,82,0,0,0,247.0,174.0,284.0,219.42857142857142,238.86666666666667
