date,sku_id,units_sold,is_promo,is_stockout,year,month,day_of_week,is_weekend,is_back_to_school,is_holiday_season,lag_1,lag_7,rolling_mean_7,rolling_mean_30,units_sold_diff
2022-01-31,MBA13,291,0,0,2022,1,0,0,0,0,250.0,306.0,275.14285714285717,298.1666666666667,41.0
2022-02-01,MBA13,285,0,0,2022,2,1,0,0,0,291.0,295.0,273.0,300.46666666666664,-6.0
2022-02-02,MBA13,273,0,0,2022,2,2,0,0,0,285.0,272.0,271.57142857142856,301.9,-12.0
2022-02-03,MBA13,324,1,0,2022,2,3,0,0,0,273.0,275.0,271.7142857142857,300.56666666666666,51.0
2022-02-04,MBA13,311,0,0,2022,2,4,0,0,0,324.0,282.0,278.7142857142857,301.1,-13.0
2022-02-05,MBA13,225,0,0,2022,2,5,1,0,0,311.0,246.0,282.85714285714283,301.43333333333334,-86.0
2022-02-06,MBA13,223,0,0,2022,2,6,1,0,0,225.0,250.0,279.85714285714283,299.3666666666667,-2.0
2022-02-07,MBA13,293,0,0,2022,2,0,0,0,0,223.0,291.0,276.0,298.23333333333335,70.0
2022-02-08,MBA13,315,0,0,2022,2,1,0,0,0,293.0,285.0,276.2857142857143,299.6333333333333,22.0
2022-02-09,MBA13,299,0,0,2022,2,2,0,0,0,315.0,273.0,280.57142857142856,302.4,-16.0
2022-02-10,MBA13,288,0,0,2022,2,3,0,0,0,299.0,324.0,284.2857142857143,302.9,-11.0
2022-02-11,MBA13,293,0,0,2022,2,4,0,0,0,288.0,311.0,279.14285714285717,303.0,5.0
2022-02-12,MBA13,575,1,0,2022,2,5,1,0,0,293.0,225.0,276.57142857142856,302.7,282.0
2022-02-13,MBA13,253,0,0,2022,2,6,1,0,0,575.0,223.0,326.57142857142856,312.0,-322.0
2022-02-14,MBA13,287,0,0,2022,2,0,0,0,0,253.0,293.0,330.85714285714283,310.8666666666667,34.0
2022-02-15,MBA13,273,0,0,2022,2,1,0,0,0,287.0,315.0,330.0,300.8666666666667,-14.0
2022-02-16,MBA13,291,0,0,2022,2,2,0,0,0,273.0,299.0,324.0,289.7,18.0
2022-02-17,MBA13,288,0,0,2022,2,3,0,0,0,291.0,288.0,322.85714285714283,290.06666666666666,-3.0
2022-02-18,MBA13,301,0,0,2022,2,4,0,0,0,288.0,293.0,322.85714285714283,289.93333333333334,13.0
2022-02-19,MBA13,254,0,0,2022,2,5,1,0,0,301.0,575.0,324.0,289.8,-47.0
2022-02-20,MBA13,257,0,0,2022,2,6,1,0,0,254.0,253.0,278.14285714285717,288.3,3.0
2022-02-21,MBA13,296,0,0,2022,2,0,0,0,0,257.0,287.0,278.7142857142857,285.76666666666665,39.0
2022-02-22,MBA13,290,0,0,2022,2,1,0,0,0,296.0,273.0,280.0,287.1333333333333,-6.0
2022-02-23,MBA13,289,0,0,2022,2,2,0,0,0,290.0,291.0,282.42857142857144,290.3666666666667,-1.0
2022-02-24,MBA13,257,0,0,2022,2,3,0,0,0,289.0,288.0,282.14285714285717,289.8,-32.0
2022-02-25,MBA13,299,0,0,2022,2,4,0,0,0,257.0,301.0,277.7142857142857,288.53333333333336,42.0
2022-02-26,MBA13,244,0,0,2022,2,5,1,0,0,299.0,254.0,277.42857142857144,289.43333333333334,-55.0
2022-02-27,MBA13,236,0,0,2022,2,6,1,0,0,244.0,257.0,276.0,288.4,-8.0
2022-02-28,MBA13,281,0,0,2022,2,0,0,0,0,236.0,296.0,273.0,286.8666666666667,45.0
2022-03-01,MBA13,255,0,1,2022,3,1,0,0,0,281.0,290.0,270.85714285714283,288.03333333333336,-26.0
2022-03-02,MBA13,235,0,1,2022,3,2,0,0,0,255.0,289.0,265.85714285714283,288.2,-20.0
2022-03-03,MBA13,271,0,0,2022,3,3,0,0,0,235.0,257.0,258.14285714285717,286.3333333333333,36.0
2022-03-04,MBA13,295,0,0,2022,3,4,0,0,0,271.0,299.0,260.14285714285717,285.8666666666667,24.0
2022-03-05,MBA13,232,0,0,2022,3,5,1,0,0,295.0,244.0,259.57142857142856,286.6,-63.0
2022-03-06,MBA13,602,1,0,2022,3,6,1,0,0,232.0,236.0,257.85714285714283,283.53333333333336,370.0
2022-03-07,MBA13,290,0,0,2022,3,0,0,0,0,602.0,281.0,310.14285714285717,293.23333333333335,-312.0
2022-03-08,MBA13,299,0,0,2022,3,1,0,0,0,290.0,255.0,311.42857142857144,295.4,9.0
2022-03-09,MBA13,294,0,0,2022,3,2,0,0,0,299.0,235.0,317.7142857142857,297.93333333333334,-5.0
2022-03-10,MBA13,283,0,0,2022,3,3,0,0,0,294.0,271.0,326.14285714285717,297.96666666666664,-11.0
2022-03-11,MBA13,305,0,0,2022,3,4,0,0,0,283.0,295.0,327.85714285714283,296.9,22.0
2022-03-12,MBA13,258,0,0,2022,3,5,1,0,0,305.0,232.0,329.2857142857143,297.1,-47.0
2022-03-13,MBA13,257,0,0,2022,3,6,1,0,0,258.0,602.0,333.0,296.1,-1.0
2022-03-14,MBA13,302,1,0,2022,3,0,0,0,0,257.0,290.0,283.7142857142857,294.9,45.0
2022-03-15,MBA13,307,0,0,2022,3,1,0,0,0,302.0,299.0,285.42857142857144,285.8,5.0
2022-03-16,MBA13,333,1,0,2022,3,2,0,0,0,307.0,294.0,286.57142857142856,287.6,26.0
2022-03-17,MBA13,321,1,0,2022,3,3,0,0,0,333.0,283.0,292.14285714285717,289.1333333333333,-12.0
2022-03-18,MBA13,303,0,0,2022,3,4,0,0,0,321.0,305.0,297.57142857142856,290.73333333333335,-18.0
2022-03-19,MBA13,221,0,0,2022,3,5,1,0,0,303.0,258.0,297.2857142857143,291.1333333333333,-82.0
2022-03-20,MBA13,247,0,0,2022,3,6,1,0,0,221.0,257.0,292.0,288.9,26.0
2022-03-21,MBA13,292,0,0,2022,3,0,0,0,0,247.0,302.0,290.57142857142856,287.1,45.0
2022-03-22,MBA13,289,0,0,2022,3,1,0,0,0,292.0,307.0,289.14285714285717,288.3666666666667,-3.0
2022-03-23,MBA13,302,0,0,2022,3,2,0,0,0,289.0,333.0,286.57142857142856,289.43333333333334,13.0
2022-03-24,MBA13,313,0,0,2022,3,3,0,0,0,302.0,321.0,282.14285714285717,289.6333333333333,11.0
2022-03-25,MBA13,330,0,0,2022,3,4,0,0,0,313.0,303.0,281.0,290.4,17.0
2022-03-26,MBA13,575,1,0,2022,3,5,1,0,0,330.0,221.0,284.85714285714283,291.76666666666665,245.0
2022-03-27,MBA13,255,0,0,2022,3,6,1,0,0,575.0,247.0,335.42857142857144,302.3666666666667,-320.0
2022-03-28,MBA13,303,0,0,2022,3,0,0,0,0,255.0,292.0,336.57142857142856,300.9,48.0
2022-03-29,MBA13,326,1,0,2022,3,1,0,0,0,303.0,289.0,338.14285714285717,302.8666666666667,23.0
2022-03-30,MBA13,297,0,0,2022,3,2,0,0,0,326.0,302.0,343.42857142857144,305.8666666666667,-29.0
2022-03-31,MBA13,321,1,0,2022,3,3,0,0,0,297.0,313.0,342.7142857142857,306.4,24.0
2022-04-01,MBA13,296,0,0,2022,4,4,0,0,0,321.0,330.0,343.85714285714283,308.6,-25.0
2022-04-02,MBA13,221,0,0,2022,4,5,1,0,0,296.0,575.0,339.0,310.6333333333333,-75.0
2022-04-03,MBA13,248,0,0,2022,4,6,1,0,0,221.0,255.0,288.42857142857144,308.96666666666664,27.0
2022-04-04,MBA13,281,0,0,2022,4,0,0,0,0,248.0,303.0,287.42857142857144,307.4,33.0
2022-04-05,MBA13,305,0,0,2022,4,1,0,0,0,281.0,326.0,284.2857142857143,309.03333333333336,24.0
2022-04-06,MBA13,312,0,0,2022,4,2,0,0,0,305.0,297.0,281.2857142857143,299.1333333333333,7.0
2022-04-07,MBA13,282,0,0,2022,4,3,0,0,0,312.0,321.0,283.42857142857144,299.8666666666667,-30.0
2022-04-08,MBA13,296,0,0,2022,4,4,0,0,0,282.0,296.0,277.85714285714283,299.3,14.0
2022-04-09,MBA13,250,0,0,2022,4,5,1,0,0,296.0,221.0,277.85714285714283,299.3666666666667,-46.0
2022-04-10,MBA13,235,0,0,2022,4,6,1,0,0,250.0,248.0,282.0,298.26666666666665,-15.0
2022-04-11,MBA13,332,0,0,2022,4,0,0,0,0,235.0,281.0,280.14285714285717,295.93333333333334,97.0
2022-04-12,MBA13,295,0,0,2022,4,1,0,0,0,332.0,305.0,287.42857142857144,298.4,-37.0
2022-04-13,MBA13,281,0,0,2022,4,2,0,0,0,295.0,312.0,286.0,299.6666666666667,-14.0
2022-04-14,MBA13,322,1,0,2022,4,3,0,0,0,281.0,282.0,281.57142857142856,298.96666666666664,41.0
2022-04-15,MBA13,292,0,0,2022,4,4,0,0,0,322.0,296.0,287.2857142857143,299.46666666666664,-30.0
2022-04-16,MBA13,201,0,1,2022,4,5,1,0,0,292.0,250.0,286.7142857142857,298.1,-91.0
2022-04-17,MBA13,184,0,1,2022,4,6,1,0,0,201.0,235.0,279.7142857142857,294.1,-17.0
2022-04-18,MBA13,305,0,0,2022,4,0,0,0,0,184.0,332.0,272.42857142857144,290.1333333333333,121.0
2022-04-19,MBA13,281,0,0,2022,4,1,0,0,0,305.0,295.0,268.57142857142856,292.93333333333334,-24.0
2022-04-20,MBA13,287,0,0,2022,4,2,0,0,0,281.0,281.0,266.57142857142856,294.06666666666666,6.0
2022-04-21,MBA13,303,0,0,2022,4,3,0,0,0,287.0,322.0,267.42857142857144,293.9,16.0
2022-04-22,MBA13,333,1,0,2022,4,4,0,0,0,303.0,292.0,264.7142857142857,294.3666666666667,30.0
