date,sku_id,units_sold,year,month,day,day_of_week,day_of_year,is_weekend,is_back_to_school,is_holiday_season,lag_1,lag_7,lag_14,rolling_mean_7,rolling_mean_30
2022-01-31,MBA13,305,2022,1,31,0,31,0,0,0,274.0,301.0,274.0,284.42857142857144,283.93333333333334
2022-02-01,MBA13,149,2022,2,1,1,32,0,0,0,305.0,319.0,326.0,285.0,285.6
2022-02-02,MBA13,314,2022,2,2,2,33,0,0,0,149.0,300.0,260.0,260.7142857142857,282.8
2022-02-03,MBA13,324,2022,2,3,3,34,0,0,0,314.0,290.0,454.0,262.7142857142857,283.73333333333335
2022-02-04,MBA13,287,2022,2,4,4,35,0,0,0,324.0,284.0,322.0,267.57142857142856,285.0
2022-02-05,MBA13,217,2022,2,5,5,36,1,0,0,287.0,223.0,197.0,268.0,276.1666666666667
2022-02-06,MBA13,187,2022,2,6,6,37,1,0,0,217.0,274.0,193.0,267.14285714285717,272.73333333333335
2022-02-07,MBA13,331,2022,2,7,0,38,0,0,0,187.0,305.0,301.0,254.71428571428572,269.8333333333333
2022-02-08,MBA13,334,2022,2,8,1,39,0,0,0,331.0,149.0,319.0,258.42857142857144,273.53333333333336
2022-02-09,MBA13,264,2022,2,9,2,40,0,0,0,334.0,314.0,300.0,284.85714285714283,279.6666666666667
2022-02-10,MBA13,259,2022,2,10,3,41,0,0,0,264.0,324.0,290.0,277.7142857142857,277.6
2022-02-11,MBA13,291,2022,2,11,4,42,0,0,0,259.0,287.0,284.0,268.42857142857144,276.9
2022-02-12,MBA13,288,2022,2,12,5,43,1,0,0,291.0,217.0,223.0,269.0,277.6333333333333
2022-02-13,MBA13,249,2022,2,13,6,44,1,0,0,288.0,187.0,274.0,279.14285714285717,278.1333333333333
2022-02-14,MBA13,281,2022,2,14,0,45,0,0,0,249.0,331.0,305.0,288.0,275.96666666666664
2022-02-15,MBA13,435,2022,2,15,1,46,0,0,0,281.0,334.0,149.0,280.85714285714283,277.26666666666665
2022-02-16,MBA13,297,2022,2,16,2,47,0,0,0,435.0,264.0,314.0,295.2857142857143,284.4
2022-02-17,MBA13,227,2022,2,17,3,48,0,0,0,297.0,259.0,324.0,300.0,285.1666666666667
