date,sku_id,units_sold
2022-01-01,MBA13,255
2022-01-02,MBA13,233
2022-01-03,MBA13,286
2022-01-04,MBA13,286
2022-01-05,MBA13,552
2022-01-06,MBA13,320
2022-01-07,MBA13,274
2022-01-08,MBA13,220
2022-01-09,MBA13,150
2022-01-10,MBA13,326
2022-01-11,MBA13,280
2022-01-12,MBA13,269
2022-01-13,MBA13,273
2022-01-14,MBA13,314
2022-01-15,MBA13,242
2022-01-16,MBA13,221
2022-01-17,MBA13,274
2022-01-18,MBA13,326
2022-01-19,MBA13,260
2022-01-20,MBA13,454
2022-01-21,MBA13,322
2022-01-22,MBA13,197
2022-01-23,MBA13,193
2022-01-24,MBA13,301
2022-01-25,MBA13,319
2022-01-26,MBA13,300
2022-01-27,MBA13,290
2022-01-28,MBA13,284
2022-01-29,MBA13,223
2022-01-30,MBA13,274
2022-01-31,MBA13,305
2022-02-01,MBA13,149
2022-02-02,MBA13,314
2022-02-03,MBA13,324
2022-02-04,MBA13,287
2022-02-05,MBA13,217
2022-02-06,MBA13,187
2022-02-07,MBA13,331
2022-02-08,MBA13,334
2022-02-09,MBA13,264
2022-02-10,MBA13,259
2022-02-11,MBA13,291
2022-02-12,MBA13,288
2022-02-13,MBA13,249
2022-02-14,MBA13,281
2022-02-15,MBA13,435
2022-02-16,MBA13,297
2022-02-17,MBA13,227
2022-02-18,MBA13,344
2022-02-19,MBA13,221
2022-02-20,MBA13,211
2022-02-21,MBA13,277
2022-02-22,MBA13,325
2022-02-23,MBA13,305
2022-02-24,MBA13,297
2022-02-25,MBA13,327
2022-02-26,MBA13,214
2022-02-27,MBA13,227
2022-02-28,MBA13,442
2022-03-01,MBA13,303
2022-03-02,MBA13,281
2022-03-03,MBA13,284
2022-03-04,MBA13,301
2022-03-05,MBA13,170
2022-03-06,MBA13,237
2022-03-07,MBA13,238
2022-03-08,MBA13,297
2022-03-09,MBA13,279
2022-03-10,MBA13,310
2022-03-11,MBA13,285
2022-03-12,MBA13,249
2022-03-13,MBA13,238
2022-03-14,MBA13,268
2022-03-15,MBA13,320
2022-03-16,MBA13,341
2022-03-17,MBA13,341
2022-03-18,MBA13,277
2022-03-19,MBA13,397
2022-03-20,MBA13,186
2022-03-21,MBA13,296
2022-03-22,MBA13,263
2022-03-23,MBA13,346
2022-03-24,MBA13,268
2022-03-25,MBA13,283
2022-03-26,MBA13,265
2022-03-27,MBA13,197
2022-03-28,MBA13,240
2022-03-29,MBA13,300
2022-03-30,MBA13,303
2022-03-31,MBA13,320
2022-04-01,MBA13,312
2022-04-02,MBA13,248
2022-04-03,MBA13,215
2022-04-04,MBA13,302
2022-04-05,MBA13,410
2022-04-06,MBA13,270
2022-04-07,MBA13,329
2022-04-08,MBA13,339
2022-04-09,MBA13,213
2022-04-10,MBA13,200
2022-04-11,MBA13,308
2022-04-12,MBA13,326
2022-04-13,MBA13,248
2022-04-14,MBA13,112
2022-04-15,MBA13,303
2022-04-16,MBA13,266
2022-04-17,MBA13,229
2022-04-18,MBA13,385
2022-04-19,MBA13,258
2022-04-20,MBA13,310
2022-04-21,MBA13,452
2022-04-22,MBA13,318
2022-04-23,MBA13,223
2022-04-24,MBA13,264
2022-04-25,MBA13,263
2022-04-26,MBA13,277
2022-04-27,MBA13,315
2022-04-28,MBA13,353
2022-04-29,MBA13,330
2022-04-30,MBA13,240
2022-05-01,MBA13,206
2022-05-02,MBA13,340
2022-05-03,MBA13,304
2022-05-04,MBA13,303
2022-05-05,MBA13,342
2022-05-06,MBA13,294
2022-05-07,MBA13,246
2022-05-08,MBA13,244
2022-05-09,MBA13,431
2022-05-10,MBA13,265
2022-05-11,MBA13,416
2022-05-12,MBA13,240
2022-05-13,MBA13,264
2022-05-14,MBA13,227
2022-05-15,MBA13,256
2022-05-16,MBA13,251
2022-05-17,MBA13,374
2022-05-18,MBA13,356
2022-05-19,MBA13,295
2022-05-20,MBA13,309
2022-05-21,MBA13,223
2022-05-22,MBA13,289
2022-05-23,MBA13,311
2022-05-24,MBA13,323
2022-05-25,MBA13,278
2022-05-26,MBA13,272
2022-05-27,MBA13,252
2022-05-28,MBA13,269
2022-05-29,MBA13,309
2022-05-30,MBA13,329
2022-05-31,MBA13,449
2022-06-01,MBA13,355
2022-06-02,MBA13,309
2022-06-03,MBA13,320
2022-06-04,MBA13,129
2022-06-05,MBA13,204
2022-06-06,MBA13,349
2022-06-07,MBA13,347
2022-06-08,MBA13,296
2022-06-09,MBA13,373
2022-06-10,MBA13,287
2022-06-11,MBA13,240
2022-06-12,MBA13,174
2022-06-13,MBA13,337
2022-06-14,MBA13,317
2022-06-15,MBA13,296
2022-06-16,MBA13,278
2022-06-17,MBA13,301
2022-06-18,MBA13,217
2022-06-19,MBA13,226
2022-06-20,MBA13,306
2022-06-21,MBA13,314
2022-06-22,MBA13,313
2022-06-23,MBA13,114
2022-06-24,MBA13,337
2022-06-25,MBA13,218
2022-06-26,MBA13,231
2022-06-27,MBA13,331
2022-06-28,MBA13,338
2022-06-29,MBA13,295
2022-06-30,MBA13,305
2022-07-01,MBA13,290
2022-07-02,MBA13,211
2022-07-03,MBA13,308
2022-07-04,MBA13,333
2022-07-05,MBA13,321
2022-07-06,MBA13,294
2022-07-07,MBA13,264
2022-07-08,MBA13,327
2022-07-09,MBA13,233
2022-07-10,MBA13,252
2022-07-11,MBA13,275
2022-07-12,MBA13,302
2022-07-13,MBA13,277
2022-07-14,MBA13,278
2022-07-15,MBA13,124
2022-07-16,MBA13,277
2022-07-17,MBA13,117
2022-07-18,MBA13,270
2022-07-19,MBA13,287
2022-07-20,MBA13,323
2022-07-21,MBA13,289
2022-07-22,MBA13,293
2022-07-23,MBA13,228
2022-07-24,MBA13,249
2022-07-25,MBA13,266
2022-07-26,MBA13,290
2022-07-27,MBA13,307
2022-07-28,MBA13,302
2022-07-29,MBA13,294
2022-07-30,MBA13,239
2022-07-31,MBA13,255
2022-08-01,MBA13,469
2022-08-02,MBA13,371
2022-08-03,MBA13,470
2022-08-04,MBA13,370
2022-08-05,MBA13,326
2022-08-06,MBA13,304
2022-08-07,MBA13,333
2022-08-08,MBA13,460
2022-08-09,MBA13,367
2022-08-10,MBA13,413
2022-08-11,MBA13,353
2022-08-12,MBA13,458
2022-08-13,MBA13,125
2022-08-14,MBA13,306
2022-08-15,MBA13,408
2022-08-16,MBA13,394
2022-08-17,MBA13,315
2022-08-18,MBA13,367
2022-08-19,MBA13,243
2022-08-20,MBA13,331
2022-08-21,MBA13,306
2022-08-22,MBA13,418
2022-08-23,MBA13,401
2022-08-24,MBA13,414
2022-08-25,MBA13,345
2022-08-26,MBA13,440
2022-08-27,MBA13,373
2022-08-28,MBA13,325
2022-08-29,MBA13,466
2022-08-30,MBA13,456
2022-08-31,MBA13,419
2022-09-01,MBA13,443
2022-09-02,MBA13,432
2022-09-03,MBA13,262
2022-09-04,MBA13,312
2022-09-05,MBA13,421
2022-09-06,MBA13,452
2022-09-07,MBA13,351
2022-09-08,MBA13,340
2022-09-09,MBA13,177
2022-09-10,MBA13,359
2022-09-11,MBA13,273
2022-09-12,MBA13,360
2022-09-13,MBA13,413
2022-09-14,MBA13,466
2022-09-15,MBA13,386
2022-09-16,MBA13,369
2022-09-17,MBA13,303
2022-09-18,MBA13,273
2022-09-19,MBA13,390
2022-09-20,MBA13,393
2022-09-21,MBA13,398
2022-09-22,MBA13,426
2022-09-23,MBA13,376
2022-09-24,MBA13,303
2022-09-25,MBA13,280
2022-09-26,MBA13,376
2022-09-27,MBA13,445
2022-09-28,MBA13,416
2022-09-29,MBA13,407
2022-09-30,MBA13,393
2022-10-01,MBA13,206
2022-10-02,MBA13,297
2022-10-03,MBA13,246
2022-10-04,MBA13,268
2022-10-05,MBA13,282
2022-10-06,MBA13,329
2022-10-07,MBA13,316
2022-10-08,MBA13,318
2022-10-09,MBA13,272
2022-10-10,MBA13,281
2022-10-11,MBA13,272
2022-10-12,MBA13,111
2022-10-13,MBA13,326
2022-10-14,MBA13,272
