date,sku_id,units_sold,is_promo,is_stockout
2022-01-01,MBA13,222,0,0
2022-01-02,MBA13,242,0,0
2022-01-03,MBA13,313,1,0
2022-01-04,MBA13,308,0,0
2022-01-05,MBA13,301,1,0
2022-01-06,MBA13,287,0,0
2022-01-07,MBA13,257,0,0
2022-01-08,MBA13,251,0,0
2022-01-09,MBA13,232,0,0
2022-01-10,MBA13,284,0,0
2022-01-11,MBA13,285,0,0
2022-01-12,MBA13,302,0,0
2022-01-13,MBA13,296,0,0
2022-01-14,MBA13,287,0,0
2022-01-15,MBA13,587,1,0
2022-01-16,MBA13,608,1,0
2022-01-17,MBA13,280,0,0
2022-01-18,MBA13,292,0,0
2022-01-19,MBA13,305,1,0
2022-01-20,MBA13,299,0,0
2022-01-21,MBA13,333,0,0
2022-01-22,MBA13,255,0,0
2022-01-23,MBA13,193,0,1
2022-01-24,MBA13,306,0,0
2022-01-25,MBA13,295,1,0
2022-01-26,MBA13,272,0,0
2022-01-27,MBA13,275,0,0
2022-01-28,MBA13,282,0,0
2022-01-29,MBA13,246,0,0
2022-01-30,MBA13,250,0,0
2022-01-31,MBA13,291,0,0
2022-02-01,MBA13,285,0,0
2022-02-02,MBA13,273,0,0
2022-02-03,MBA13,324,1,0
2022-02-04,MBA13,311,0,0
2022-02-05,MBA13,225,0,0
2022-02-06,MBA13,223,0,0
2022-02-07,MBA13,293,0,0
2022-02-08,MBA13,315,0,0
2022-02-09,MBA13,299,0,0
2022-02-10,MBA13,288,0,0
2022-02-11,MBA13,293,0,0
2022-02-12,MBA13,575,1,0
2022-02-13,MBA13,253,0,0
2022-02-14,MBA13,287,0,0
2022-02-15,MBA13,273,0,0
2022-02-16,MBA13,291,0,0
2022-02-17,MBA13,288,0,0
2022-02-18,MBA13,301,0,0
2022-02-19,MBA13,254,0,0
2022-02-20,MBA13,257,0,0
2022-02-21,MBA13,296,0,0
2022-02-22,MBA13,290,0,0
2022-02-23,MBA13,289,0,0
2022-02-24,MBA13,257,0,0
2022-02-25,MBA13,299,0,0
2022-02-26,MBA13,244,0,0
2022-02-27,MBA13,236,0,0
2022-02-28,MBA13,281,0,0
2022-03-01,MBA13,255,0,1
2022-03-02,MBA13,235,0,1
2022-03-03,MBA13,271,0,0
2022-03-04,MBA13,295,0,0
2022-03-05,MBA13,232,0,0
2022-03-06,MBA13,602,1,0
2022-03-07,MBA13,290,0,0
2022-03-08,MBA13,299,0,0
2022-03-09,MBA13,294,0,0
2022-03-10,MBA13,283,0,0
2022-03-11,MBA13,305,0,0
2022-03-12,MBA13,258,0,0
2022-03-13,MBA13,257,0,0
2022-03-14,MBA13,302,1,0
2022-03-15,MBA13,307,0,0
2022-03-16,MBA13,333,1,0
2022-03-17,MBA13,321,1,0
2022-03-18,MBA13,303,0,0
2022-03-19,MBA13,221,0,0
2022-03-20,MBA13,247,0,0
2022-03-21,MBA13,292,0,0
2022-03-22,MBA13,289,0,0
2022-03-23,MBA13,302,0,0
2022-03-24,MBA13,313,0,0
2022-03-25,MBA13,330,0,0
2022-03-26,MBA13,575,1,0
2022-03-27,MBA13,255,0,0
2022-03-28,MBA13,303,0,0
2022-03-29,MBA13,326,1,0
2022-03-30,MBA13,297,0,0
2022-03-31,MBA13,321,1,0
2022-04-01,MBA13,296,0,0
2022-04-02,MBA13,221,0,0
2022-04-03,MBA13,248,0,0
2022-04-04,MBA13,281,0,0
2022-04-05,MBA13,305,0,0
