iter	Passed	Remaining
0	21	3208
1	34	2559
2	55	2715
3	79	2910
4	104	3041
5	126	3043
6	155	3178
7	191	3392
8	222	3486
9	256	3595
10	287	3634
11	314	3619
12	340	3583
13	368	3579
14	409	3686
15	447	3749
16	476	3728
17	507	3722
18	547	3775
19	590	3840
20	624	3837
21	662	3853
22	714	3943
23	752	3948
24	780	3901
25	807	3852
26	834	3802
27	868	3784
28	910	3800
29	942	3768
30	974	3741
31	1004	3702
32	1036	3676
33	1070	3653
34	1102	3622
35	1141	3614
36	1177	3596
37	1216	3584
38	1262	3593
39	1330	3659
40	1359	3615
41	1387	3568
42	1415	3521
43	1443	3477
44	1471	3433
45	1498	3387
46	1524	3340
47	1550	3295
48	1572	3240
49	1608	3217
50	1638	3179
51	1664	3136
52	1705	3121
53	1732	3080
54	1758	3038
55	1785	2997
56	1814	2960
57	1841	2921
58	1850	2854
59	1877	2816
60	1906	2781
61	1942	2756
62	1972	2724
63	2001	2689
64	2030	2655
65	2068	2632
66	2108	2611
67	2139	2579
68	2172	2549
69	2201	2515
70	2233	2484
71	2261	2450
72	2297	2423
73	2327	2389
74	2360	2360
75	2394	2331
76	2425	2299
77	2456	2267
78	2482	2231
79	2518	2203
80	2556	2177
81	2591	2149
82	2649	2138
83	2686	2110
84	2717	2078
85	2761	2055
86	2792	2022
87	2824	1989
88	2858	1959
89	2887	1925
90	2921	1894
91	2964	1868
92	2994	1835
93	3023	1800
94	3058	1770
95	3094	1740
96	3138	1714
97	3181	1688
98	3212	1654
99	3243	1621
100	3273	1587
101	3303	1554
102	3330	1519
103	3356	1484
104	3384	1450
105	3419	1419
106	3458	1389
107	3484	1355
108	3510	1320
109	3540	1287
110	3567	1253
111	3598	1220
112	3638	1191
113	3666	1157
114	3694	1124
115	3725	1092
116	3765	1062
117	3795	1029
118	3829	997
119	3861	965
120	3897	934
121	3931	902
122	3972	871
123	4005	839
124	4041	808
125	4086	778
126	4137	749
127	4171	716
128	4212	685
129	4250	653
130	4279	620
131	4320	589
132	4349	555
133	4401	525
134	4447	494
135	4475	460
136	4506	427
137	4539	394
138	4568	361
139	4604	328
140	4635	295
141	4683	263
142	4709	230
143	4742	197
144	4768	164
145	4800	131
146	4837	98
147	4866	65
148	4902	32
149	4936	0
